"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.tid","Answer.completionCode","Answer.feedback","Approve","Reject"
"3PIOQ99R7XLXN469BW3AFQ6E89BNUU","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:55 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:55 PST 2023","","","3OE22WJIGINLDLGVHQ0T84WFU2GQUI","A1LEWF3XCAKF39","Submitted","Thu Jan 19 14:10:47 PST 2023","Thu Jan 19 14:22:49 PST 2023","Sat Jan 21 14:22:49 PST 2023","","","","722","100% (14/14)","0% (0/0)","0% (0/0)","tid_400","rw-7D7UpHdSJM3LaaZHuI70","{}"
"3OLZC0DJ8IE5MIKIJ60N64CG0HQIVY","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:56 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:56 PST 2023","","","3Y4W8Q93LZJR1R1QHU4E4RRZPUXVD4","AFA73M8WJKEN0","Submitted","Thu Jan 19 13:58:08 PST 2023","Thu Jan 19 14:22:15 PST 2023","Sat Jan 21 14:22:15 PST 2023","","","","1447","100% (5/5)","0% (0/0)","0% (0/0)","tid_600","rw-2eEjESQEo7ZND1alt5hN","{}"
"37VHPF5VYB2GY325J3TR3NUDCE58CH","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:55 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:55 PST 2023","","","3A1PQ49WVHGSRVQUWC3FOOZHSINH1E","A25XII4YYJ59MO","Submitted","Thu Jan 19 14:17:09 PST 2023","Thu Jan 19 14:31:24 PST 2023","Sat Jan 21 14:31:24 PST 2023","","","","855","100% (1/1)","0% (0/0)","0% (0/0)","tid_200","rw-cBBydZsMYBfuZbzD8gfo","The survey was easy to do. It was kind of tricky to do the squares. email is: shidoken6@yahoo.com"
"3DWNFENNE2U2NGL9HSK09FR30CIJ4Z","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:58 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:58 PST 2023","","","3R6BYFZZP7BG30KH8F0MGCR5HILFX2","A320QA9HJFUOZO","Submitted","Thu Jan 19 13:56:29 PST 2023","Thu Jan 19 14:39:59 PST 2023","Sat Jan 21 14:39:59 PST 2023","","","","2610","100% (72/72)","100% (1/1)","0% (0/0)","tid_0","rw-PtuQitsaYIX0mfcQRehc","n/a"
"3WGZLY9VCGLQ3V8JJZO2NTCVXEH8DH","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:55 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:55 PST 2023","","","3I7DHKZYGNZ71H0729HROT0LOKBF5U","A53S7J4JGWG38","Submitted","Thu Jan 19 17:21:29 PST 2023","Thu Jan 19 17:35:28 PST 2023","Sat Jan 21 17:35:28 PST 2023","","","","839","100% (5/5)","0% (0/0)","0% (0/0)","tid_401","rw-DKHKxaMr24khTh1S8FVM","{}"
"335HHSX8CC4JW69CM3I8065U0X7DH1","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:55 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:55 PST 2023","","","3P529IW9KYKL363SUWXY5IWIA9CFLH","A1NMCSVPHOTPYG","Submitted","Thu Jan 19 13:58:54 PST 2023","Thu Jan 19 14:05:10 PST 2023","Sat Jan 21 14:05:10 PST 2023","","","","376","100% (1/1)","0% (0/0)","0% (0/0)","tid_201","rw-CkmJqV0E7KfwmdpuoUpq","{}"
"3K8CQCU3KD0AF8VE6WIBXERBTPMNWT","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:56 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:56 PST 2023","","","3OCHAWUVGOJRJMCV9QRJWPJAPE2KX9","AF0W4ZBY7VXOU","Submitted","Thu Jan 19 13:56:20 PST 2023","Thu Jan 19 14:24:13 PST 2023","Sat Jan 21 14:24:13 PST 2023","","","","1673","100% (6/6)","0% (0/0)","0% (0/0)","tid_601","rw-GxZY5e3Sf7WRHlS9MQdW","{}"
"3OKP4QVBP1W7Y3BPIN9OP5LN0UXGA3","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:55 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:55 PST 2023","","","3PS7W85Z8Z10L9KK0JZXHDKO1O3T96","A2M9JNCHRKMCC4","Submitted","Thu Jan 19 14:00:37 PST 2023","Thu Jan 19 14:09:25 PST 2023","Sat Jan 21 14:09:25 PST 2023","","","","528","100% (12/12)","0% (0/0)","0% (0/0)","tid_402","rw-pj2DJS6K2kzaXONugIFb","{}"
"36GJS3V78UPIZWETCTM1I4O6QHRGJJ","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:58 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:58 PST 2023","","","3L0KT67Y8EFE7AFDJVMN6PHT8E9SY4","A37S96RT1P1IT2","Submitted","Thu Jan 19 13:56:29 PST 2023","Thu Jan 19 14:04:10 PST 2023","Sat Jan 21 14:04:10 PST 2023","","","","461","100% (58/58)","100% (1/1)","0% (0/0)","tid_1","rw-te8FiRvlLCBni3PVI24r","{}"
"306W7JMRYXXXOYAZ53XWS3OVUT5B8D","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:55 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:55 PST 2023","","","3K4J6M3CXESALN8J8PEQEPGJHCCAGS","AT0COJ1G23ZB0","Submitted","Thu Jan 19 13:56:18 PST 2023","Thu Jan 19 14:06:23 PST 2023","Sat Jan 21 14:06:23 PST 2023","","","","605","100% (23/23)","0% (0/0)","0% (0/0)","tid_202","rw-1MypyypJIcp9TRwIcFxR","{}"
"31JUPBOORM3917WBWGMQ66K06NJL8A","3NQ8A4S0YCZTQOWK708Q9OO9MD960I","Guess shapes from clues","Guess the shape and location of several rectangles based on cryptic clues.","psychology, reasoning, learning","$1.50","Thu Jan 19 13:55:56 PST 2023","1","BatchId:4991696;OriginalHitTemplateId:928390828;","7200","172800","Tue Jan 24 13:55:56 PST 2023","","","33OOO72IVHK2J7RNC39OJ3LW795CT5","A2M183CETUMR96","Submitted","Thu Jan 19 13:56:18 PST 2023","Thu Jan 19 14:12:26 PST 2023","Sat Jan 21 14:12:26 PST 2023","","","","968","100% (10/10)","100% (1/1)","0% (0/0)","tid_403","rw-PM7kXpdkMofdMiAd5QlI","{}"
